experiment_date,species,stage,strain,treatment,conc,cell,total_worms,top_worms,bottom_worms,cue_side,cue,cue_conc
20211018,Cel,Adult,N2,NA,NA,A1,4,3,1,top,NaCl,100 mM
20211018,Cel,Adult,N2,NA,NA,B1,3,3,0,top,NaCl,100 mM
20211018,Cel,Adult,N2,NA,NA,C1,5,3,2,bottom,NaCl,100 mM
20211018,Cel,Adult,N2,NA,NA,D1,6,0,0,bottom,NaCl,100 mM
20211018,Cel,Adult,N2,NA,NA,A2,8,6,0,top,NaCl,100 mM
20211018,Cel,Adult,N2,NA,NA,B2,7,1,1,top,NaCl,100 mM
20211018,Cel,Adult,N2,NA,NA,C2,4,2,2,bottom,NaCl,100 mM
20211018,Cel,Adult,N2,NA,NA,D2,5,3,2,bottom,NaCl,100 mM
20211018,Cel,Adult,N2,NA,NA,A3,7,4,0,top,NaCl,100 mM
20211018,Cel,Adult,N2,NA,NA,B3,2,0,0,top,NaCl,100 mM
20211018,Cel,Adult,N2,NA,NA,C3,0,0,0,bottom,NaCl,100 mM
20211018,Cel,Adult,N2,NA,NA,D3,4,0,1,bottom,NaCl,100 mM
20211018,Cel,Adult,N2,NA,NA,A4,6,5,1,top,NaCl,100 mM
20211018,Cel,Adult,N2,NA,NA,B4,6,0,2,top,NaCl,100 mM
20211018,Cel,Adult,N2,NA,NA,C4,1,0,0,bottom,NaCl,100 mM
20211018,Cel,Adult,N2,NA,NA,D4,4,1,0,bottom,NaCl,100 mM
20211018,Cel,Adult,N2,NA,NA,A5,4,0,0,top,NaCl,100 mM
20211018,Cel,Adult,N2,NA,NA,B5,5,1,0,top,NaCl,100 mM
20211018,Cel,Adult,N2,NA,NA,C5,3,0,2,bottom,NaCl,100 mM
20211018,Cel,Adult,N2,NA,NA,D5,3,0,0,bottom,NaCl,100 mM
20211018,Cel,Adult,N2,NA,NA,A6,5,1,0,top,NaCl,100 mM
20211018,Cel,Adult,N2,NA,NA,B6,4,0,0,top,NaCl,100 mM
20211018,Cel,Adult,N2,NA,NA,C6,4,0,0,bottom,NaCl,100 mM
20211018,Cel,Adult,N2,NA,NA,D6,3,1,0,bottom,NaCl,100 mM
20211027,Cel,Adult,N2,NA,NA,A1,11,3,4,top,NaCl,100 mM
20211027,Cel,Adult,N2,NA,NA,B1,15,10,0,top,NaCl,100 mM
20211027,Cel,Adult,N2,NA,NA,C1,11,2,4,bottom,NaCl,100 mM
20211027,Cel,Adult,N2,NA,NA,D1,8,3,5,bottom,NaCl,100 mM
20211027,Cel,Adult,N2,NA,NA,A2,5,4,0,top,NaCl,100 mM
20211027,Cel,Adult,N2,NA,NA,B2,10,5,0,top,NaCl,100 mM
20211027,Cel,Adult,N2,NA,NA,C2,5,2,0,bottom,NaCl,100 mM
20211027,Cel,Adult,N2,NA,NA,D2,10,1,7,bottom,NaCl,100 mM
20211027,Cel,Adult,N2,NA,NA,A3,10,5,1,top,NaCl,100 mM
20211027,Cel,Adult,N2,NA,NA,B3,6,4,2,top,NaCl,100 mM
20211027,Cel,Adult,N2,NA,NA,C3,9,3,4,bottom,NaCl,100 mM
20211027,Cel,Adult,N2,NA,NA,D3,11,4,7,bottom,NaCl,100 mM
20211027,Cel,Adult,N2,NA,NA,A4,8,4,1,top,NaCl,100 mM
20211027,Cel,Adult,N2,NA,NA,B4,X,X,X,top,NaCl,100 mM
20211027,Cel,Adult,N2,NA,NA,C4,9,2,1,bottom,NaCl,100 mM
20211027,Cel,Adult,N2,NA,NA,D4,12,2,6,bottom,NaCl,100 mM
20211027,Cel,Adult,N2,NA,NA,A5,8,5,3,top,NaCl,100 mM
20211027,Cel,Adult,N2,NA,NA,B5,12,8,1,top,NaCl,100 mM
20211027,Cel,Adult,N2,NA,NA,C5,10,4,4,bottom,NaCl,100 mM
20211027,Cel,Adult,N2,NA,NA,D5,12,0,9,bottom,NaCl,100 mM
20211027,Cel,Adult,N2,NA,NA,A6,7,4,2,top,NaCl,100 mM
20211027,Cel,Adult,N2,NA,NA,B6,8,6,1,top,NaCl,100 mM
20211027,Cel,Adult,N2,NA,NA,C6,9,3,6,bottom,NaCl,100 mM
20211027,Cel,Adult,N2,NA,NA,D6,14,1,8,bottom,NaCl,100 mM
20211103,Cel,Adult,N2,NA,NA,A1,8,2,1,top,NaCl,100 mM
20211103,Cel,Adult,N2,NA,NA,B1,9,4,3,top,NaCl,100 mM
20211103,Cel,Adult,N2,NA,NA,C1,5,1,0,bottom,NaCl,100 mM
20211103,Cel,Adult,N2,NA,NA,D1,10,2,1,bottom,NaCl,100 mM
20211103,Cel,Adult,N2,NA,NA,A2,3,2,1,top,NaCl,100 mM
20211103,Cel,Adult,N2,NA,NA,B2,9,3,0,top,NaCl,100 mM
20211103,Cel,Adult,N2,NA,NA,C2,8,2,1,bottom,NaCl,100 mM
20211103,Cel,Adult,N2,NA,NA,D2,9,1,1,bottom,NaCl,100 mM
20211103,Cel,Adult,N2,NA,NA,A3,6,3,0,top,NaCl,100 mM
20211103,Cel,Adult,N2,NA,NA,B3,13,5,0,top,NaCl,100 mM
20211103,Cel,Adult,N2,NA,NA,C3,X,X,X,bottom,NaCl,100 mM
20211103,Cel,Adult,N2,NA,NA,D3,10,2,2,bottom,NaCl,100 mM
20211103,Cel,Adult,N2,NA,NA,A4,6,2,0,top,NaCl,100 mM
20211103,Cel,Adult,N2,NA,NA,B4,10,5,0,top,NaCl,100 mM
20211103,Cel,Adult,N2,NA,NA,C4,4,1,3,bottom,NaCl,100 mM
20211103,Cel,Adult,N2,NA,NA,D4,11,4,0,bottom,NaCl,100 mM
20211103,Cel,Adult,N2,NA,NA,A5,8,4,2,top,NaCl,100 mM
20211103,Cel,Adult,N2,NA,NA,B5,9,3,0,top,NaCl,100 mM
20211103,Cel,Adult,N2,NA,NA,C5,11,2,0,bottom,NaCl,100 mM
20211103,Cel,Adult,N2,NA,NA,D5,8,0,0,bottom,NaCl,100 mM
20211103,Cel,Adult,N2,NA,NA,A6,15,4,5,top,NaCl,100 mM
20211103,Cel,Adult,N2,NA,NA,B6,8,2,0,top,NaCl,100 mM
20211103,Cel,Adult,N2,NA,NA,C6,10,0,0,bottom,NaCl,100 mM
20211103,Cel,Adult,N2,NA,NA,D6,4,0,0,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,A1,17,6,12,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,B1,9,3,2,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,C1,14,2,6,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,D1,X,X,X,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,A2,10,4,6,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,B2,17,2,0,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,C2,12,0,2,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,D2,10,0,0,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,A3,11,3,5,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,B3,14,3,0,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,C3,8,2,0,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,D3,19,1,1,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,A4,11,1,3,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,B4,17,0,2,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,C4,16,0,4,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,D4,9,0,2,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,A5,15,1,4,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,B5,7,3,1,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,C5,16,3,1,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,D5,13,2,4,bottom,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,A6,16,2,6,top,NaCl,100 mM
20211110,Cel,Adult,N2,NA,NA,B6,16,5,4,top,NaCl,100 mM
