experiment_date,species,stage,strain,treatment,conc,cell,total_worms,top_worms,bottom_worms,cue_side,cue,cue_conc
20220322,Bpa,L3,NA,NA,NA,A1,7,5,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,B1,5,0,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,C1,5,1,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,D1,5,3,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,A2,X,X,X,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,B2,10,0,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,C2,3,0,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,D2,4,2,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,A3,6,1,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,B3,11,3,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,C3,4,0,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,D3,7,1,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,A4,3,2,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,B4,9,3,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,C4,5,0,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,D4,5,2,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,A5,11,4,1,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,B5,4,2,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,C5,3,0,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,D5,X,X,X,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,A6,3,3,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,B6,5,5,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,C6,5,5,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,D6,X,X,X,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,A1,4,0,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,B1,2,0,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,C1,X,X,X,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,D1,X,X,X,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,A2,5,0,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,B2,3,0,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,C2,X,X,X,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,D2,X,X,X,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,A3,6,1,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,B3,5,0,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,C3,X,X,X,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,D3,X,X,X,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,A4,6,0,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,B4,X,X,X,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,C4,X,X,X,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,D4,X,X,X,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,A5,5,0,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,B5,4,1,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,C5,X,X,X,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,D5,X,X,X,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,A6,3,1,0,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,B6,X,X,X,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,C6,X,X,X,top,FBS,NA
20220322,Bpa,L3,NA,NA,NA,D6,X,X,X,top,FBS,NA
20220426,Bpa,L3,NA,NA,NA,A1 ,4,2,0,top,FBS,NA
20220426,Bpa,L3,NA,NA,NA,B1,0,0,0,top,FBS,NA
20220426,Bpa,L3,NA,NA,NA,C1,2,0,0,top,FBS,NA
20220426,Bpa,L3,NA,NA,NA,D1,0,0,0,top,FBS,NA
20220426,Bpa,L3,NA,NA,NA,E1,X,X,X,top,FBS,NA
20220426,Bpa,L3,NA,NA,NA,F1,X,X,X,top,FBS,NA
20220426,Bpa,L3,NA,NA,NA,G1,X,X,X,top,FBS,NA
20220426,Bpa,L3,NA,NA,NA,H1,X,X,X,top,FBS,NA
20220426,Bpa,L3,NA,NA,NA,A2,4,2,0,top,FBS,NA
20220426,Bpa,L3,NA,NA,NA,B2,0,0,0,top,FBS,NA
20220426,Bpa,L3,NA,NA,NA,C2,1,0,1,top,FBS,NA
20220426,Bpa,L3,NA,NA,NA,D2,0,0,0,top,FBS,NA
20220426,Bpa,L3,NA,NA,NA,E2,X,X,X,top,FBS,NA
20220426,Bpa,L3,NA,NA,NA,F2,X,X,X,top,FBS,NA
20220426,Bpa,L3,NA,NA,NA,G2,X,X,X,top,FBS,NA
20220426,Bpa,L3,NA,NA,NA,H2,X,X,X,top,FBS,NA
