experiment_date,species,stage,strain,treatment,conc,cell,total_worms,top_worms,bottom_worms,cue_side,cue,cue_conc
20220524,Bpa,L3,NA,IVM,100uM,A1 ,3,1,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,100uM,B1,1,0,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,100uM,C1,3,2,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,100uM,D1,5,4,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,100uM,E1,3,0,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,100uM,F1,1,0,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,100uM,G1,0,0,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,100uM,H1,0,0,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,100uM,A2,4,1,1,top,FBS,NA
20220524,Bpa,L3,NA,IVM,100uM,B2,4,3,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,100uM,C2,3,1,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,100uM,D2,8,5,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,100uM,E2,1,0,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,100uM,F2,4,1,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,100uM,G2,1,0,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,100uM,H2,0,0,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,50uM,A3,2,0,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,50uM,B3,2,0,1,top,FBS,NA
20220524,Bpa,L3,NA,IVM,50uM,C3,5,2,1,top,FBS,NA
20220524,Bpa,L3,NA,IVM,50uM,D3,2,2,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,50uM,E3,1,1,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,50uM,F3,4,1,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,50uM,G3,5,4,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,50uM,H3,0,0,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,50uM,A4,4,1,2,top,FBS,NA
20220524,Bpa,L3,NA,IVM,50uM,B4,2,1,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,50uM,C4,4,2,2,top,FBS,NA
20220524,Bpa,L3,NA,IVM,50uM,D4,0,0,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,50uM,E4,5,1,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,50uM,F4,4,3,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,50uM,G4,1,0,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,50uM,H4,0,0,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,10uM,A5,2,1,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,10uM,B5,2,0,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,10uM,C5,0,0,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,10uM,D5,4,2,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,10uM,E5,1,0,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,10uM,F5,1,1,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,10uM,G5,0,0,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,10uM,H5,4,0,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,10uM,A6,3,2,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,10uM,B6,6,2,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,10uM,C6,1,0,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,10uM,D6,4,2,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,10uM,E6,5,1,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,10uM,F6,3,1,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,10uM,G6,2,1,0,top,FBS,NA
20220524,Bpa,L3,NA,IVM,10uM,H6,4,2,0,top,FBS,NA
20220524,Bpa,L3,NA,AZS,10uM,A7,5,1,0,top,FBS,NA
20220524,Bpa,L3,NA,AZS,10uM,B7,3,2,0,top,FBS,NA
20220524,Bpa,L3,NA,AZS,10uM,C7,3,1,1,top,FBS,NA
20220524,Bpa,L3,NA,AZS,10uM,D7,1,0,0,top,FBS,NA
20220524,Bpa,L3,NA,AZS,10uM,E7,2,0,0,top,FBS,NA
20220524,Bpa,L3,NA,AZS,10uM,F7,2,0,0,top,FBS,NA
20220524,Bpa,L3,NA,AZS,10uM,G7,4,0,0,top,FBS,NA
20220524,Bpa,L3,NA,AZS,10uM,H7,0,0,0,top,FBS,NA
20220524,Bpa,L3,NA,AZS,10uM,A8,2,1,0,top,FBS,NA
20220524,Bpa,L3,NA,AZS,10uM,B8,7,0,1,top,FBS,NA
20220524,Bpa,L3,NA,AZS,10uM,C8,3,0,0,top,FBS,NA
20220524,Bpa,L3,NA,AZS,10uM,D8,2,1,0,top,FBS,NA
